Gasch:RP	YDR417C	YDR454C	YEL026W	YER025W	YGL102C	YHR128W	YJL138C	YKL056C	YKL081W	YKR059W	YLL044W	YLR062C	YLR339C	YML022W	YMR116C	YMR146C	YNL119W	YNL209W	YPL142C	YPR044C	YBL027W	YBL072C	YBL087C	YBL092W	YBR031W	YBR048W	YBR084C-A	YBR181C	YBR189W	YBR191W	YCR031C	YDL061C	YDL075W	YDL081C	YDL082W	YDL083C	YDL136W	YDL191W	YDR012W	YDR025W	YDR064W	YDR382W	YDR418W	YDR447C	YDR450W	YDR471W	YDR500C	YEL054C	YER056C-A	YER074W	YER102W	YER117W	YER131W	YFR031C-A	YGL030W	YGL031C	YGL076C	YGL103W	YGL123W	YGL135W	YGL147C	YGL189C	YGR027C	YGR034W	YGR085C	YGR118W	YGR148C	YGR214W	YHL001W	YHL033C	YHR010W	YHR021C	YHR141C	YHR203C	YIL018W	YIL052C	YIL133C	YIL148W	YJL136C	YJL177W	YJL189W	YJL190C	YJL191W	YJR094W-A	YJR123W	YJR145C	YKL006W	YKL156W	YKL180W	YKR057W	YKR094C	YLL045C	YLR009W	YLR029C	YLR048W	YLR061W	YLR075W	YLR167W	YLR185W	YLR264W	YLR325C	YLR333C	YLR340W	YLR344W	YLR367W	YLR388W	YLR441C	YLR448W	YML024W	YML026C	YML063W	YML073C	YMR121C	YMR142C	YMR143W	YMR194W	YMR230W	YMR242C	YNL002C	YNL067W	YNL069C	YNL096C	YNL162W	YNL178W	YNL301C	YNL302C	YOL039W	YOL040C	YOL120C	YOL121C	YOL127W	YOR063W	YOR096W	YOR167C	YOR182C	YOR234C	YOR293W	YOR312C	YOR369C	YPL079W	YPL081W	YPL090C	YPL143W	YPL198W	YPL220W	YPR043W	YPR102C	YPR132W	YDL130W	YDL133C-A	YDL184C	YFL034C-A	YFR032C-A	YHL015W	YIL069C	YLR287C-A	YLR406C	YPL131W	YPL249C-A
Gasch:RiBi	YAL003W	YAL025C	YAL035W	YAL036C	YAL038W	YAL059W	YBL024W	YBL028C	YBL035C	YBL039C	YBL054W	YBL068W	YBL077W	YBR025C	YBR030W	YBR034C	YBR061C	YBR079C	YBR084W	YBR106W	YBR118W	YBR121C	YBR142W	YBR143C	YBR154C	YBR155W	YBR238C	YBR246W	YBR247C	YBR249C	YBR252W	YBR267W	YBR283C	YCL031C	YCL037C	YCL045C	YCL054W	YCL059C	YCR016W	YCR034W	YCR035C	YCR053W	YCR057C	YCR072C	YDL031W	YDL051W	YDL060W	YDL063C	YDL084W	YDL111C	YDL143W	YDL150W	YDL153C	YDL167C	YDL201W	YDR023W	YDR037W	YDR083W	YDR087C	YDR091C	YDR097C	YDR101C	YDR120C	YDR152W	YDR161W	YDR165W	YDR172W	YDR184C	YDR190C	YDR211W	YDR233C	YDR280W	YDR300C	YDR312W	YDR321W	YDR324C	YDR339C	YDR341C	YDR346C	YDR361C	YDR365C	YDR385W	YDR398W	YDR412W	YDR413C	YDR429C	YDR440W	YDR449C	YDR465C	YDR496C	YEL040W	YEL042W	YER006W	YER009W	YER036C	YER043C	YER049W	YER070W	YER082C	YER110C	YER118C	YER126C	YER127W	YER165W	YFL002C	YFL022C	YFL023W	YFL045C	YFR001W	YGL008C	YGL029W	YGL070C	YGL078C	YGL097W	YGL099W	YGL111W	YGL120C	YGL148W	YGL169W	YGL171W	YGL213C	YGL225W	YGR054W	YGR078C	YGR081C	YGR083C	YGR094W	YGR103W	YGR123C	YGR124W	YGR128C	YGR145W	YGR152C	YGR158C	YGR160W	YGR162W	YGR173W	YGR185C	YGR187C	YGR195W	YGR200C	YGR228W	YGR229C	YGR245C	YGR251W	YGR264C	YGR265W	YGR280C	YGR283C	YGR285C	YHL011C	YHL013C	YHL039W	YHR013C	YHR019C	YHR020W	YHR025W	YHR026W	YHR042W	YHR052W	YHR064C	YHR065C	YHR066W	YHR068W	YHR088W	YHR089C	YHR133C	YHR143W-A	YHR144C	YHR148W	YHR169W	YHR170W	YHR193C	YHR196W	YHR197W	YHR216W	YIL019W	YIL020C	YIL021W	YIL078W	YIL079C	YIL096C	YIL104C	YIL110W	YIL127C	YIR012W	YIR026C	YJL002C	YJL014W	YJL033W	YJL050W	YJL069C	YJL080C	YJL109C	YJL122W	YJL125C	YJL148W	YJL183W	YJL188C	YJL198W	YJL208C	YJR002W	YJR003C	YJR007W	YJR014W	YJR041C	YJR043C	YJR063W	YJR064W	YJR070C	YJR071W	YJR124C	YJR143C	YKL009W	YKL021C	YKL078W	YKL080W	YKL082C	YKL099C	YKL110C	YKL122C	YKL143W	YKL144C	YKL154W	YKL172W	YKL181W	YKL205W	YKR024C	YKR025W	YKR026C	YKR043C	YKR056W	YKR060W	YKR079C	YKR081C	YKR092C	YLL008W	YLL011W	YLL034C	YLL035W	YLL036C	YLL038C	YLR002C	YLR003C	YLR017W	YLR044C	YLR051C	YLR060W	YLR063W	YLR065C	YLR073C	YLR074C	YLR076C	YLR083C	YLR129W	YLR134W	YLR146C	YLR150W	YLR172C	YLR175W	YLR183C	YLR186W	YLR196W	YLR197W	YLR198C	YLR221C	YLR222C	YLR243W	YLR249W	YLR276C	YLR291C	YLR293C	YLR336C	YLR372W	YLR397C	YLR400W	YLR401C	YLR405W	YLR409C	YLR412W	YLR413W	YLR432W	YLR433C	YLR435W	YLR447C	YLR449W	YML018C	YML043C	YML056C	YML060W	YML080W	YML082W	YML093W	YML106W	YMR014W	YMR049C	YMR079W	YMR093W	YMR128W	YMR131C	YMR212C	YMR215W	YMR217W	YMR229C	YMR234W	YMR235C	YMR239C	YMR243C	YMR269W	YMR277W	YMR290C	YMR307W	YMR308C	YMR309C	YMR310C	YMR321C	YNL001W	YNL010W	YNL022C	YNL061W	YNL062C	YNL066W	YNL075W	YNL102W	YNL110C	YNL113W	YNL114C	YNL124W	YNL132W	YNL141W	YNL151C	YNL153C	YNL163C	YNL175C	YNL182C	YNL186W	YNL227C	YNL247W	YNL248C	YNL255C	YNL256W	YNL292W	YNL299W	YNL303W	YNL308C	YNL313C	YNR003C	YNR009W	YNR024W	YNR043W	YNR053C	YNR054C	YOL022C	YOL041C	YOL077C	YOL097C	YOL124C	YOR001W	YOR004W	YOR021C	YOR095C	YOR145C	YOR168W	YOR169C	YOR188W	YOR206W	YOR209C	YOR210W	YOR217W	YOR224C	YOR233W	YOR243C	YOR252W	YOR253W	YOR260W	YOR271C	YOR272W	YOR276W	YOR277C	YOR287C	YOR294W	YOR309C	YOR310C	YOR361C	YPL037C	YPL043W	YPL086C	YPL146C	YPL160W	YPL183C	YPL207W	YPL211W	YPL212C	YPL217C	YPL226W	YPL235W	YPL237W	YPL238C	YPL245W	YPL263C	YPL266W	YPL273W	YPR010C	YPR016C	YPR033C	YPR034W	YPR041W	YPR060C	YPR074C	YPR080W	YPR110C	YPR112C	YPR118W	YPR137W	YPR143W	YPR144C	YPR145W	YPR163C	YPR169W	YPR187W	YPR190C
BP:ribosomal small subunit assembly	YAL026C	YBR048W	YCL031C	YCR031C	YCR057C	YDR025W	YDR447C	YGR159C	YGR214W	YHR021C	YJL191W	YJR113C	YJR123W	YKL156W	YLR048W	YLR167W	YLR264W	YML024W	YMR229C	YMR230W	YNL302C	YNL306W	YNR037C	YNR054C	YOL040C	YOL121C	YOR167C	YOR293W	YPR112C																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
BP:ribosomal large subunit assembly	YCR072C	YDR060W	YDR237W	YDR312W	YDR418W	YEL054C	YFL002C	YGL031C	YGL064C	YGL099W	YGR085C	YGR148C	YHR066W	YHR085W	YHR088W	YHR197W	YIL110W	YIL148W	YIR012W	YIR026C	YKL009W	YKR081C	YKR094C	YLL008W	YLR009W	YLR075W	YLR106C	YLR221C	YLR340W	YLR448W	YML073C	YMR229C	YNL182C	YNL185C	YOL077C	YOL080C	YOL127W	YOR063W	YPL131W	YPL146C	YPL193W	YPR102C
BP:cytoplasmic translation	YAL005C	YAL035W	YAL036C	YBL027W	YBL071W-A	YBL072C	YBL087C	YBL092W	YBR031W	YBR048W	YBR061C	YBR079C	YBR084C-A	YBR181C	YBR191W	YBR246W	YBR261C	YCL037C	YCR031C	YCR077C	YDL061C	YDL075W	YDL081C	YDL082W	YDL083C	YDL130W	YDL133C-A	YDL136W	YDL184C	YDL191W	YDL229W	YDR012W	YDR025W	YDR064W	YDR117C	YDR152W	YDR172W	YDR328C	YDR382W	YDR418W	YDR429C	YDR447C	YDR450W	YDR471W	YDR500C	YEL034W	YEL054C	YER007C-A	YER017C	YER025W	YER056C-A	YER074W	YER102W	YER117W	YER131W	YFL023W	YFL034C-A	YFR031C-A	YFR032C-A	YGL030W	YGL031C	YGL076C	YGL103W	YGL135W	YGL147C	YGL189C	YGR027C	YGR034W	YGR085C	YGR148C	YGR173W	YGR214W	YGR271W	YHL001W	YHL015W	YHL033C	YHR010W	YHR021C	YHR064C	YHR141C	YHR168W	YHR203C	YIL018W	YIL052C	YIL069C	YIL103W	YIL133C	YIL137C	YIL148W	YJL136C	YJL177W	YJL189W	YJL190C	YJL191W	YJR007W	YJR014W	YJR094W-A	YJR097W	YJR123W	YJR145C	YKL006W	YKL056C	YKL156W	YKL166C	YKL180W	YKL191W	YKR057W	YKR094C	YLL045C	YLR029C	YLR048W	YLR061W	YLR075W	YLR143W	YLR167W	YLR172C	YLR185W	YLR192C	YLR212C	YLR262C-A	YLR264W	YLR287C-A	YLR325C	YLR333C	YLR340W	YLR344W	YLR367W	YLR388W	YLR406C	YLR441C	YLR448W	YML024W	YML026C	YML063W	YML073C	YML091C	YMR012W	YMR121C	YMR142C	YMR143W	YMR146C	YMR194W	YMR230W	YMR260C	YNL002C	YNL067W	YNL069C	YNL096C	YNL162W	YNL178W	YNL209W	YNL244C	YNL255C	YNL301C	YNL302C	YOL039W	YOL040C	YOL045W	YOL120C	YOL121C	YOL127W	YOR063W	YOR091W	YOR096W	YOR167C	YOR182C	YOR234C	YOR293W	YOR361C	YOR369C	YPL079W	YPL081W	YPL090C	YPL131W	YPL143W	YPL198W	YPL203W	YPL220W	YPL237W	YPL249C-A	YPR041W	YPR043W	YPR102C	YPR163C																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
BP:oxidative phosphorylation	Q0045	Q0060	Q0065	Q0070	Q0105	Q0250	Q0275	YBL045C	YDL067C	YDL120W	YDR178W	YDR529C	YEL024W	YEL039C	YFR033C	YGL187C	YGL191W	YGL226W	YGR183C	YHR001W-A	YHR051W	YJL045W	YJL103C	YJL166W	YJR048W	YKL141W	YKL148C	YLR038C	YLR163C	YLR164W	YLR395C	YML120C	YMR118C	YMR244C-A	YMR256C	YNL052W	YOL071W	YOR065W	YPR140W	YPR191W																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
BP:response to oxidative stress	YAL015C	YAR050W	YBL024W	YBL055C	YBL064C	YBR006W	YBR014C	YBR046C	YBR126C	YBR216C	YBR244W	YBR269C	YCL026C-A	YCL026C-B	YCL033C	YCL035C	YCR021C	YCR065W	YCR083W	YDL010W	YDL047W	YDL101C	YDL120W	YDL124W	YDL166C	YDR098C	YDR222W	YDR256C	YDR283C	YDR296W	YDR346C	YDR353W	YDR368W	YDR453C	YDR511W	YDR513W	YDR533C	YDR538W	YEL052W	YER042W	YER174C	YFL014W	YFL033C	YFL039C	YFR014C	YGL060W	YGL131C	YGL158W	YGL195W	YGR023W	YGR029W	YGR043C	YGR088W	YGR097W	YGR209C	YGR234W	YHR008C	YHR053C	YHR055C	YHR104W	YHR106W	YHR111W	YHR178W	YHR183W	YHR205W	YHR206W	YIL008W	YIL010W	YIL056W	YIL101C	YIR037W	YJL101C	YJR066W	YJR096W	YJR100C	YJR104C	YKL026C	YKL056C	YKL062W	YKL069W	YKL086W	YKL116C	YKL143W	YKL150W	YKR066C	YKR071C	YLL026W	YLR011W	YLR043C	YLR109W	YLR113W	YLR205C	YLR225C	YLR248W	YLR270W	YLR438W	YML007W	YML028W	YML086C	YML127W	YMR037C	YMR074C	YMR173W	YMR176W	YMR250W	YMR291W	YNL036W	YNL080C	YNL099C	YNL241C	YNL259C	YNR074C	YOL016C	YOL052C-A	YOL081W	YOR043W	YOR120W	YOR162C	YOR173W	YOR297C	YOR351C	YPL059W	YPL091W	YPL188W	YPL196W	YPL202C	YPL239W	YPL270W	YPR048W																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																											
BP:oxidation-reduction process	Q0045	Q0050	Q0055	Q0060	Q0065	Q0070	Q0105	Q0110	Q0115	Q0120	Q0250	Q0275	YAL017W	YAL044C	YAL051W	YAL054C	YAL060W	YAL061W	YAL062W	YAR073W	YAR075W	YBL021C	YBL030C	YBL045C	YBL058W	YBL064C	YBL069W	YBR006W	YBR026C	YBR035C	YBR046C	YBR084W	YBR085W	YBR145W	YBR149W	YBR153W	YBR160W	YBR166C	YBR238C	YBR243C	YBR244W	YBR269C	YCL018W	YCL030C	YCL033C	YCR005C	YCR102C	YCR105W	YDL022W	YDL045C	YDL066W	YDL067C	YDL078C	YDL085W	YDL120W	YDL124W	YDL144C	YDL168W	YDL171C	YDL174C	YDL178W	YDL215C	YDL246C	YDR019C	YDR028C	YDR031W	YDR044W	YDR081C	YDR099W	YDR127W	YDR148C	YDR158W	YDR178W	YDR197W	YDR216W	YDR231C	YDR256C	YDR286C	YDR297W	YDR347W	YDR353W	YDR368W	YDR376W	YDR402C	YDR453C	YDR487C	YDR506C	YDR529C	YEL011W	YEL024W	YEL039C	YEL047C	YEL070W	YEL071W	YER014W	YER015W	YER023W	YER042W	YER049W	YER054C	YER059W	YER065C	YER067W	YER069W	YER070W	YER073W	YER081W	YER101C	YER129W	YER133W	YER141W	YER177W	YFL018C	YFL041W	YFL053W	YFR003C	YFR015C	YFR017C	YFR030W	YFR033C	YFR049W	YGL001C	YGL012W	YGL018C	YGL055W	YGL107C	YGL125W	YGL134W	YGL160W	YGL185C	YGL187C	YGL191W	YGL205W	YGL226W	YGL237C	YGL256W	YGR029W	YGR060W	YGR088W	YGR133W	YGR175C	YGR177C	YGR180C	YGR183C	YGR192C	YGR204W	YGR207C	YGR234W	YGR244C	YGR255C	YGR256W	YHL012W	YHL021C	YHR001W-A	YHR007C	YHR008C	YHR009C	YHR037W	YHR039C	YHR042W	YHR047C	YHR051W	YHR063C	YHR104W	YHR106W	YHR176W	YHR179W	YHR183W	YHR216W	YIL010W	YIL043C	YIL045W	YIL050W	YIL057C	YIL066C	YIL070C	YIL074C	YIL094C	YIL099W	YIL125W	YIL155C	YIL160C	YIR031C	YIR037W	YJL026W	YJL045W	YJL050W	YJL052W	YJL137C	YJL166W	YJL200C	YJL209W	YJR009C	YJR010W	YJR019C	YJR025C	YJR048W	YJR051W	YJR096W	YJR101W	YJR104C	YJR111C	YJR120W	YJR137C	YJR139C	YJR149W	YJR159W	YKL001C	YKL026C	YKL029C	YKL035W	YKL055C	YKL085W	YKL086W	YKL093W	YKL109W	YKL127W	YKL141W	YKL148C	YKL150W	YKL182W	YKL188C	YKL192C	YKL216W	YKL220C	YKR009C	YKR046C	YKR049C	YKR058W	YKR066C	YKR069W	YKR080W	YLL013C	YLL018C-A	YLL041C	YLL051C	YLL057C	YLR028C	YLR044C	YLR056W	YLR070C	YLR087C	YLR134W	YLR139C	YLR154W-C	YLR163C	YLR164W	YLR174W	YLR205C	YLR214W	YLR256W	YLR258W	YLR273C	YLR284C	YLR294C	YLR304C	YLR355C	YLR395C	YLR401C	YLR405W	YLR432W	YLR450W	YLR460C	YML028W	YML054C	YML056C	YML070W	YML075C	YML080W	YML086C	YML087C	YML110C	YML120C	YML125C	YML130C	YML131W	YMR002W	YMR009W	YMR015C	YMR020W	YMR030W	YMR056C	YMR058W	YMR081C	YMR083W	YMR105C	YMR110C	YMR118C	YMR145C	YMR165C	YMR169C	YMR170C	YMR178W	YMR189W	YMR244C-A	YMR256C	YMR267W	YMR272C	YMR303C	YMR311C	YMR315W	YMR318C	YNL009W	YNL037C	YNL052W	YNL117W	YNL134C	YNL241C	YNL274C	YNL280C	YNR001C	YNR015W	YNR032W	YNR050C	YNR060W	YNR073C	YNR074C	YOL008W	YOL045W	YOL059W	YOL071W	YOL086C	YOL126C	YOL147C	YOL151W	YOL152W	YOR002W	YOR037W	YOR065W	YOR120W	YOR125C	YOR136W	YOR142W	YOR178C	YOR180C	YOR236W	YOR323C	YOR355W	YOR356W	YOR358W	YOR363C	YOR374W	YOR375C	YOR377W	YOR381W	YOR384W	YOR388C	YPL017C	YPL023C	YPL028W	YPL031C	YPL032C	YPL061W	YPL091W	YPL113C	YPL132W	YPL147W	YPL159C	YPL171C	YPL172C	YPL219W	YPL262W	YPR001W	YPR004C	YPR011C	YPR021C	YPR037C	YPR048W	YPR049C	YPR097W	YPR128C	YPR140W	YPR155C	YPR160W	YPR167C	YPR184W	YPR191W																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
BP:mitochondrial translation	Q0140	YBL038W	YBL080C	YBL090W	YBR120C	YBR122C	YBR146W	YBR185C	YBR251W	YBR268W	YBR282W	YCR003W	YCR024C	YCR046C	YCR071C	YDL044C	YDL045W-A	YDL069C	YDL202W	YDR041W	YDR115W	YDR116C	YDR175C	YDR197W	YDR237W	YDR268W	YDR296W	YDR322W	YDR337W	YDR341C	YDR347W	YDR350C	YDR405W	YDR462W	YDR494W	YEL050C	YER050C	YER153C	YFR049W	YGL068W	YGL129C	YGL143C	YGR076C	YGR084C	YGR165W	YGR215W	YGR220C	YGR222W	YHL004W	YHR011W	YHR038W	YHR075C	YHR091C	YHR147C	YHR189W	YIL051C	YIL070C	YIL093C	YJL062W-A	YJL063C	YJL096W	YJL102W	YJL131C	YJR101W	YJR113C	YKL003C	YKL138C	YKL155C	YKL167C	YKL170W	YKL194C	YKR006C	YKR085C	YLR067C	YLR069C	YLR139C	YLR203C	YLR281C	YLR312W-A	YLR382C	YLR439W	YML009C	YML025C	YML129C	YMR024W	YMR097C	YMR158W	YMR188C	YMR193W	YMR225C	YMR257C	YMR282C	YMR286W	YNL005C	YNL073W	YNL081C	YNL122C	YNL137C	YNL177C	YNL185C	YNL252C	YNL284C	YNL306W	YNR022C	YNR036C	YNR037C	YNR045W	YOL023W	YOL027C	YOL033W	YOL114C	YOR150W	YOR158W	YOR187W	YPL005W	YPL013C	YPL040C	YPL097W	YPL104W	YPL118W	YPL173W	YPL183W-A	YPL215W	YPR033C	YPR047W	YPR081C	YPR100W	YPR166C																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																												
BP:mitochondrion inheritance	YAL048C	YDL006W	YDL029W	YDL239C	YDR150W	YFL039C	YGL055W	YGR132C	YGR231C	YHR194W	YIL062C	YIL138C	YJR065C	YKL013C	YLL001W	YLR190W	YLR370C	YML104C	YMR072W	YMR275C	YNL079C	YNL304W	YNR035C	YOL009C	YOL076W	YOR147W	YOR211C	YOR326W	YPR083W	YPR131C												
BP:mitochondrial genome maintenance	YAL015C	YBL022C	YBR163W	YBR192W	YCR028C-A	YDL142C	YDL198C	YDR065W	YDR077W	YDR148C	YDR258C	YDR296W	YDR332W	YER154W	YFL016C	YFL036W	YGR144W	YGR150C	YHR031C	YHR120W	YJL063C	YJL102W	YJL112W	YJL143W	YJR118C	YJR144W	YKL011C	YLL006W	YLR059C	YLR091W	YLR304C	YLR355C	YML061C	YMR072W	YMR211W	YMR241W	YMR302C	YNL213C	YOL095C	YOR211C	YOR330C	YPL029W	YPR116W																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																	
DIN7	YDR263C
